,Id,ActivityDay,StepTotal
79,1644430081,4/29/2016,3176
80,1644430081,4/30/2016,18213
81,1644430081,5/1/2016,6132
82,1644430081,5/2/2016,3758
83,1644430081,5/3/2016,12850
84,1644430081,5/4/2016,2309
85,1644430081,5/5/2016,4363
86,1644430081,5/6/2016,9787
87,1644430081,5/7/2016,13372
88,1644430081,5/8/2016,6724
89,1644430081,5/9/2016,6643
90,1644430081,5/10/2016,9167
91,1644430081,5/11/2016,1329
92,1844505072,4/12/2016,6697
93,1844505072,4/13/2016,4929
94,1844505072,4/14/2016,7937
95,1844505072,4/15/2016,3844
96,1844505072,4/16/2016,3414
97,1844505072,4/17/2016,4525
98,1844505072,4/18/2016,4597
99,1844505072,4/19/2016,197
100,1844505072,4/20/2016,8
101,1844505072,4/21/2016,8054
102,1844505072,4/22/2016,5372
103,1844505072,4/23/2016,3570
107,1844505072,4/27/2016,4
108,1844505072,4/28/2016,6907
109,1844505072,4/29/2016,4920
110,1844505072,4/30/2016,4014
111,1844505072,5/1/2016,2573
113,1844505072,5/3/2016,4059
114,1844505072,5/4/2016,2080
115,1844505072,5/5/2016,2237
116,1844505072,5/6/2016,44
123,1927972279,4/12/2016,678
124,1927972279,4/13/2016,356
125,1927972279,4/14/2016,2163
126,1927972279,4/15/2016,980
129,1927972279,4/18/2016,244
133,1927972279,4/22/2016,149
134,1927972279,4/23/2016,2945
135,1927972279,4/24/2016,2090
136,1927972279,4/25/2016,152
137,1927972279,4/26/2016,3761
139,1927972279,4/28/2016,1675
142,1927972279,5/1/2016,2704
143,1927972279,5/2/2016,3790
144,1927972279,5/3/2016,1326
145,1927972279,5/4/2016,1786
147,1927972279,5/6/2016,2091
148,1927972279,5/7/2016,1510
154,2022484408,4/12/2016,11875
155,2022484408,4/13/2016,12024
156,2022484408,4/14/2016,10690
157,2022484408,4/15/2016,11034
158,2022484408,4/16/2016,10100
159,2022484408,4/17/2016,15112
160,2022484408,4/18/2016,14131
161,2022484408,4/19/2016,11548
162,2022484408,4/20/2016,15112
163,2022484408,4/21/2016,12453
164,2022484408,4/22/2016,12954
165,2022484408,4/23/2016,6001
166,2022484408,4/24/2016,13481
167,2022484408,4/25/2016,11369
168,2022484408,4/26/2016,10119
169,2022484408,4/27/2016,10159
170,2022484408,4/28/2016,10140
171,2022484408,4/29/2016,10245
172,2022484408,4/30/2016,18387
173,2022484408,5/1/2016,10538
174,2022484408,5/2/2016,10379
175,2022484408,5/3/2016,12183
176,2022484408,5/4/2016,11768
177,2022484408,5/5/2016,11895
178,2022484408,5/6/2016,10227
179,2022484408,5/7/2016,6708
180,2022484408,5/8/2016,3292
181,2022484408,5/9/2016,13379
182,2022484408,5/10/2016,12798
183,2022484408,5/11/2016,13272
184,2022484408,5/12/2016,9117
185,2026352035,4/12/2016,4414
186,2026352035,4/13/2016,4993
187,2026352035,4/14/2016,3335
188,2026352035,4/15/2016,3821
189,2026352035,4/16/2016,2547
190,2026352035,4/17/2016,838
191,2026352035,4/18/2016,3325
192,2026352035,4/19/2016,2424
193,2026352035,4/20/2016,7222
194,2026352035,4/21/2016,2467
195,2026352035,4/22/2016,2915
196,2026352035,4/23/2016,12357
197,2026352035,4/24/2016,3490
198,2026352035,4/25/2016,6017
199,2026352035,4/26/2016,5933
200,2026352035,4/27/2016,6088
201,2026352035,4/28/2016,6375
202,2026352035,4/29/2016,7604
203,2026352035,4/30/2016,4729
204,2026352035,5/1/2016,3609
205,2026352035,5/2/2016,7018
206,2026352035,5/3/2016,5992
207,2026352035,5/4/2016,6564
208,2026352035,5/5/2016,12167
209,2026352035,5/6/2016,8198
210,2026352035,5/7/2016,4193
211,2026352035,5/8/2016,5528
212,2026352035,5/9/2016,10685
213,2026352035,5/10/2016,254
214,2026352035,5/11/2016,8580
215,2026352035,5/12/2016,8891
216,2320127002,4/12/2016,10725
217,2320127002,4/13/2016,7275
218,2320127002,4/14/2016,3973
219,2320127002,4/15/2016,5205
220,2320127002,4/16/2016,5057
221,2320127002,4/17/2016,6198
222,2320127002,4/18/2016,6559
223,2320127002,4/19/2016,5997
224,2320127002,4/20/2016,7192
225,2320127002,4/21/2016,3404
226,2320127002,4/22/2016,5583
227,2320127002,4/23/2016,5079
228,2320127002,4/24/2016,4165
229,2320127002,4/25/2016,3588
230,2320127002,4/26/2016,3409
231,2320127002,4/27/2016,1715
232,2320127002,4/28/2016,1532
233,2320127002,4/29/2016,924
234,2320127002,4/30/2016,4571
235,2320127002,5/1/2016,772
236,2320127002,5/2/2016,3634
237,2320127002,5/3/2016,7443
238,2320127002,5/4/2016,1201
239,2320127002,5/5/2016,5202
240,2320127002,5/6/2016,4878
241,2320127002,5/7/2016,7379
242,2320127002,5/8/2016,5161
243,2320127002,5/9/2016,3090
244,2320127002,5/10/2016,6227
245,2320127002,5/11/2016,6424
246,2320127002,5/12/2016,2661
247,2347167796,4/12/2016,10113
248,2347167796,4/13/2016,10352
249,2347167796,4/14/2016,10129
250,2347167796,4/15/2016,10465
251,2347167796,4/16/2016,22244
252,2347167796,4/17/2016,5472
253,2347167796,4/18/2016,8247
254,2347167796,4/19/2016,6711
255,2347167796,4/20/2016,10999
256,2347167796,4/21/2016,10080
257,2347167796,4/22/2016,7804
258,2347167796,4/23/2016,16901
259,2347167796,4/24/2016,9471
260,2347167796,4/25/2016,9482
261,2347167796,4/26/2016,5980
262,2347167796,4/27/2016,11423
263,2347167796,4/28/2016,5439
264,2347167796,4/29/2016,42
265,2873212765,4/12/2016,8796
266,2873212765,4/13/2016,7618
267,2873212765,4/14/2016,7910
268,2873212765,4/15/2016,8482
269,2873212765,4/16/2016,9685
270,2873212765,4/17/2016,2524
271,2873212765,4/18/2016,7762
272,2873212765,4/19/2016,7948
273,2873212765,4/20/2016,9202
274,2873212765,4/21/2016,8859
275,2873212765,4/22/2016,7286
276,2873212765,4/23/2016,9317
277,2873212765,4/24/2016,6873
278,2873212765,4/25/2016,7373
279,2873212765,4/26/2016,8242
280,2873212765,4/27/2016,3516
281,2873212765,4/28/2016,7913
282,2873212765,4/29/2016,7365
283,2873212765,4/30/2016,8452
284,2873212765,5/1/2016,7399
285,2873212765,5/2/2016,7525
286,2873212765,5/3/2016,7412
287,2873212765,5/4/2016,8278
288,2873212765,5/5/2016,8314
289,2873212765,5/6/2016,7063
290,2873212765,5/7/2016,4940
291,2873212765,5/8/2016,8168
292,2873212765,5/9/2016,7726
293,2873212765,5/10/2016,8275
294,2873212765,5/11/2016,6440
295,2873212765,5/12/2016,7566
296,3372868164,4/12/2016,4747
297,3372868164,4/13/2016,9715
298,3372868164,4/14/2016,8844
299,3372868164,4/15/2016,7451
300,3372868164,4/16/2016,6905
301,3372868164,4/17/2016,8199
302,3372868164,4/18/2016,6798
303,3372868164,4/19/2016,7711
304,3372868164,4/20/2016,4880
305,3372868164,4/21/2016,8857
306,3372868164,4/22/2016,3843
307,3372868164,4/23/2016,7396
308,3372868164,4/24/2016,6731
309,3372868164,4/25/2016,5995
310,3372868164,4/26/2016,8283
311,3372868164,4/27/2016,7904
312,3372868164,4/28/2016,5512
313,3372868164,4/29/2016,9135
314,3372868164,4/30/2016,5250
315,3372868164,5/1/2016,3077
316,3977333714,4/12/2016,8856
317,3977333714,4/13/2016,10035
318,3977333714,4/14/2016,7641
319,3977333714,4/15/2016,9010
320,3977333714,4/16/2016,13459
321,3977333714,4/17/2016,10415
322,3977333714,4/18/2016,11663
323,3977333714,4/19/2016,12414
324,3977333714,4/20/2016,11658
325,3977333714,4/21/2016,6093
326,3977333714,4/22/2016,8911
327,3977333714,4/23/2016,12058
328,3977333714,4/24/2016,14112
329,3977333714,4/25/2016,11177
330,3977333714,4/26/2016,11388
331,3977333714,4/27/2016,7193
332,3977333714,4/28/2016,7114
333,3977333714,4/29/2016,10645
334,3977333714,4/30/2016,13238
335,3977333714,5/1/2016,10414
336,3977333714,5/2/2016,16520
337,3977333714,5/3/2016,14335
338,3977333714,5/4/2016,13559
339,3977333714,5/5/2016,12312
340,3977333714,5/6/2016,11677
341,3977333714,5/7/2016,11550
342,3977333714,5/8/2016,13585
343,3977333714,5/9/2016,14687
344,3977333714,5/10/2016,13072
345,3977333714,5/11/2016,746
346,4020332650,4/12/2016,8539
348,4020332650,4/14/2016,108
349,4020332650,4/15/2016,1882
350,4020332650,4/16/2016,1982
351,4020332650,4/17/2016,16
352,4020332650,4/18/2016,62
366,4020332650,5/2/2016,475
367,4020332650,5/3/2016,4496
368,4020332650,5/4/2016,10252
369,4020332650,5/5/2016,11728
370,4020332650,5/6/2016,4369
371,4020332650,5/7/2016,6132
372,4020332650,5/8/2016,5862
373,4020332650,5/9/2016,4556
374,4020332650,5/10/2016,5546
375,4020332650,5/11/2016,3689
376,4020332650,5/12/2016,590
377,4057192912,4/12/2016,5394
378,4057192912,4/13/2016,5974
380,4057192912,4/15/2016,3984
381,4319703577,4/12/2016,7753
382,4319703577,4/13/2016,8204
383,4319703577,4/14/2016,10210
384,4319703577,4/15/2016,5664
385,4319703577,4/16/2016,4744
386,4319703577,4/17/2016,29
387,4319703577,4/18/2016,2276
388,4319703577,4/19/2016,8925
389,4319703577,4/20/2016,8954
390,4319703577,4/21/2016,3702
391,4319703577,4/22/2016,4500
392,4319703577,4/23/2016,4935
393,4319703577,4/24/2016,4081
394,4319703577,4/25/2016,9259
395,4319703577,4/26/2016,9899
396,4319703577,4/27/2016,10780
397,4319703577,4/28/2016,10817
398,4319703577,4/29/2016,7990
399,4319703577,4/30/2016,8221
400,4319703577,5/1/2016,1251
401,4319703577,5/2/2016,9261
402,4319703577,5/3/2016,9648
403,4319703577,5/4/2016,10429
404,4319703577,5/5/2016,13658
405,4319703577,5/6/2016,9524
406,4319703577,5/7/2016,7937
407,4319703577,5/8/2016,3672
408,4319703577,5/9/2016,10378
409,4319703577,5/10/2016,9487
410,4319703577,5/11/2016,9129
411,4319703577,5/12/2016,17
412,4388161847,4/12/2016,10122
413,4388161847,4/13/2016,10993
414,4388161847,4/14/2016,8863
415,4388161847,4/15/2016,8758
416,4388161847,4/16/2016,6580
417,4388161847,4/17/2016,4660
418,4388161847,4/18/2016,11009
419,4388161847,4/19/2016,10181
420,4388161847,4/20/2016,10553
421,4388161847,4/21/2016,10055
422,4388161847,4/22/2016,12139
423,4388161847,4/23/2016,13236
424,4388161847,4/24/2016,10243
425,4388161847,4/25/2016,12961
426,4388161847,4/26/2016,9461
427,4388161847,4/27/2016,11193
428,4388161847,4/28/2016,10074
429,4388161847,4/29/2016,9232
430,4388161847,4/30/2016,12533
431,4388161847,5/1/2016,10255
432,4388161847,5/2/2016,10096
433,4388161847,5/3/2016,12727
434,4388161847,5/4/2016,12375
435,4388161847,5/5/2016,9603
436,4388161847,5/6/2016,13175
438,4388161847,5/8/2016,17298
439,4388161847,5/9/2016,10218
440,4388161847,5/10/2016,10299
441,4388161847,5/11/2016,10201
442,4388161847,5/12/2016,3369
443,4445114986,4/12/2016,3276
444,4445114986,4/13/2016,2961
445,4445114986,4/14/2016,3974
446,4445114986,4/15/2016,7198
447,4445114986,4/16/2016,3945
448,4445114986,4/17/2016,2268
449,4445114986,4/18/2016,6155
450,4445114986,4/19/2016,2064
451,4445114986,4/20/2016,2072
452,4445114986,4/21/2016,3809
453,4445114986,4/22/2016,6831
454,4445114986,4/23/2016,4363
455,4445114986,4/24/2016,5002
456,4445114986,4/25/2016,3385
457,4445114986,4/26/2016,6326
458,4445114986,4/27/2016,7243
459,4445114986,4/28/2016,4493
460,4445114986,4/29/2016,4676
461,4445114986,4/30/2016,6222
462,4445114986,5/1/2016,5232
463,4445114986,5/2/2016,6910
464,4445114986,5/3/2016,7502
465,4445114986,5/4/2016,2923
466,4445114986,5/5/2016,3800
467,4445114986,5/6/2016,4514
468,4445114986,5/7/2016,5183
469,4445114986,5/8/2016,7303
470,4445114986,5/9/2016,5275
471,4445114986,5/10/2016,3915
472,4445114986,5/11/2016,9105
473,4445114986,5/12/2016,768
474,4558609924,4/12/2016,5135
475,4558609924,4/13/2016,4978
476,4558609924,4/14/2016,6799
477,4558609924,4/15/2016,7795
478,4558609924,4/16/2016,7289
479,4558609924,4/17/2016,9634
480,4558609924,4/18/2016,8940
481,4558609924,4/19/2016,5401
482,4558609924,4/20/2016,4803
483,4558609924,4/21/2016,13743
484,4558609924,4/22/2016,9601
485,4558609924,4/23/2016,6890
486,4558609924,4/24/2016,8563
487,4558609924,4/25/2016,8095
488,4558609924,4/26/2016,9148
489,4558609924,4/27/2016,9557
490,4558609924,4/28/2016,9451
491,4558609924,4/29/2016,7833
492,4558609924,4/30/2016,10319
493,4558609924,5/1/2016,3428
494,4558609924,5/2/2016,7891
495,4558609924,5/3/2016,5267
496,4558609924,5/4/2016,5232
497,4558609924,5/5/2016,10611
498,4558609924,5/6/2016,3755
499,4558609924,5/7/2016,8237
500,4558609924,5/8/2016,6543
501,4558609924,5/9/2016,11451
502,4558609924,5/10/2016,6435
503,4558609924,5/11/2016,9108
504,4558609924,5/12/2016,6307
505,4702921684,4/12/2016,7213
506,4702921684,4/13/2016,6877
507,4702921684,4/14/2016,7860
508,4702921684,4/15/2016,6506
509,4702921684,4/16/2016,11140
510,4702921684,4/17/2016,12692
511,4702921684,4/18/2016,9105
512,4702921684,4/19/2016,6708
513,4702921684,4/20/2016,8793
514,4702921684,4/21/2016,6530
515,4702921684,4/22/2016,1664
516,4702921684,4/23/2016,15126
517,4702921684,4/24/2016,15050
518,4702921684,4/25/2016,9167
519,4702921684,4/26/2016,6108
520,4702921684,4/27/2016,7047
521,4702921684,4/28/2016,9023
522,4702921684,4/29/2016,9930
523,4702921684,4/30/2016,10144
525,4702921684,5/2/2016,7245
526,4702921684,5/3/2016,9454
527,4702921684,5/4/2016,8161
528,4702921684,5/5/2016,8614
529,4702921684,5/6/2016,6943
530,4702921684,5/7/2016,14370
531,4702921684,5/8/2016,12857
532,4702921684,5/9/2016,8232
533,4702921684,5/10/2016,10613
534,4702921684,5/11/2016,9810
535,4702921684,5/12/2016,2752
536,5553957443,4/12/2016,11596
537,5553957443,4/13/2016,4832
538,5553957443,4/14/2016,17022
539,5553957443,4/15/2016,16556
540,5553957443,4/16/2016,5771
541,5553957443,4/17/2016,655
542,5553957443,4/18/2016,3727
543,5553957443,4/19/2016,15482
544,5553957443,4/20/2016,2713
545,5553957443,4/21/2016,12346
546,5553957443,4/22/2016,11682
547,5553957443,4/23/2016,4112
548,5553957443,4/24/2016,1807
549,5553957443,4/25/2016,10946
550,5553957443,4/26/2016,11886
551,5553957443,4/27/2016,10538
552,5553957443,4/28/2016,11393
553,5553957443,4/29/2016,12764
554,5553957443,4/30/2016,1202
555,5553957443,5/1/2016,5164
556,5553957443,5/2/2016,9769
557,5553957443,5/3/2016,12848
558,5553957443,5/4/2016,4249
559,5553957443,5/5/2016,14331
560,5553957443,5/6/2016,9632
561,5553957443,5/7/2016,1868
562,5553957443,5/8/2016,6083
563,5553957443,5/9/2016,11611
564,5553957443,5/10/2016,16358
565,5553957443,5/11/2016,4926
566,5553957443,5/12/2016,3121
567,5577150313,4/12/2016,8135
568,5577150313,4/13/2016,5077
569,5577150313,4/14/2016,8596
570,5577150313,4/15/2016,12087
571,5577150313,4/16/2016,14269
572,5577150313,4/17/2016,12231
573,5577150313,4/18/2016,9893
574,5577150313,4/19/2016,12574
575,5577150313,4/20/2016,8330
576,5577150313,4/21/2016,10830
577,5577150313,4/22/2016,9172
578,5577150313,4/23/2016,7638
579,5577150313,4/24/2016,15764
580,5577150313,4/25/2016,6393
581,5577150313,4/26/2016,5325
582,5577150313,4/27/2016,6805
583,5577150313,4/28/2016,9841
584,5577150313,4/29/2016,7924
585,5577150313,4/30/2016,12363
586,5577150313,5/1/2016,13368
587,5577150313,5/2/2016,7439
588,5577150313,5/3/2016,11045
589,5577150313,5/4/2016,5206
590,5577150313,5/5/2016,7550
591,5577150313,5/6/2016,4950
594,5577150313,5/9/2016,3421
595,5577150313,5/10/2016,8869
596,5577150313,5/11/2016,4038
600,6117666160,4/15/2016,14019
601,6117666160,4/16/2016,14450
602,6117666160,4/17/2016,7150
603,6117666160,4/18/2016,5153
604,6117666160,4/19/2016,11135
605,6117666160,4/20/2016,10449
606,6117666160,4/21/2016,19542
607,6117666160,4/22/2016,8206
608,6117666160,4/23/2016,11495
609,6117666160,4/24/2016,7623
611,6117666160,4/26/2016,9543
612,6117666160,4/27/2016,9411
613,6117666160,4/28/2016,3403
614,6117666160,4/29/2016,9592
615,6117666160,4/30/2016,6987
616,6117666160,5/1/2016,8915
617,6117666160,5/2/2016,4933
619,6117666160,5/4/2016,2997
620,6117666160,5/5/2016,9799
621,6117666160,5/6/2016,3365
622,6117666160,5/7/2016,7336
623,6117666160,5/8/2016,7328
624,6117666160,5/9/2016,4477
625,6290855005,4/12/2016,4562
626,6290855005,4/13/2016,7142
627,6290855005,4/14/2016,7671
628,6290855005,4/15/2016,9501
629,6290855005,4/16/2016,8301
630,6290855005,4/17/2016,7851
631,6290855005,4/18/2016,6885
632,6290855005,4/19/2016,7142
633,6290855005,4/20/2016,6361
635,6290855005,4/22/2016,6238
637,6290855005,4/24/2016,5896
638,6290855005,4/25/2016,7802
640,6290855005,4/27/2016,5565
641,6290855005,4/28/2016,5731
643,6290855005,4/30/2016,6744
644,6290855005,5/1/2016,9837
645,6290855005,5/2/2016,6781
646,6290855005,5/3/2016,6047
647,6290855005,5/4/2016,5832
648,6290855005,5/5/2016,6339
649,6290855005,5/6/2016,6116
650,6290855005,5/7/2016,5510
651,6290855005,5/8/2016,7706
652,6290855005,5/9/2016,6277
655,6775888955,4/13/2016,4053
656,6775888955,4/14/2016,5162
657,6775888955,4/15/2016,1282
658,6775888955,4/16/2016,4732
659,6775888955,4/17/2016,2497
660,6775888955,4/18/2016,8294
662,6775888955,4/20/2016,10771
664,6775888955,4/22/2016,637
666,6775888955,4/24/2016,2153
667,6775888955,4/25/2016,6474
668,6775888955,4/26/2016,7091
670,6775888955,4/28/2016,703
672,6775888955,4/30/2016,2503
673,6775888955,5/1/2016,2487
675,6775888955,5/3/2016,9
678,6775888955,5/6/2016,4697
679,6775888955,5/7/2016,1967
680,6962181067,4/12/2016,10199
681,6962181067,4/13/2016,5652
682,6962181067,4/14/2016,1551
683,6962181067,4/15/2016,5563
684,6962181067,4/16/2016,13217
685,6962181067,4/17/2016,10145
686,6962181067,4/18/2016,11404
687,6962181067,4/19/2016,10742
688,6962181067,4/20/2016,13928
689,6962181067,4/21/2016,11835
690,6962181067,4/22/2016,10725
691,6962181067,4/23/2016,20031
692,6962181067,4/24/2016,5029
693,6962181067,4/25/2016,13239
694,6962181067,4/26/2016,10433
695,6962181067,4/27/2016,10320
696,6962181067,4/28/2016,12627
697,6962181067,4/29/2016,10762
698,6962181067,4/30/2016,10081
699,6962181067,5/1/2016,5454
700,6962181067,5/2/2016,12912
701,6962181067,5/3/2016,12109
702,6962181067,5/4/2016,10147
703,6962181067,5/5/2016,10524
704,6962181067,5/6/2016,5908
705,6962181067,5/7/2016,6815
706,6962181067,5/8/2016,4188
707,6962181067,5/9/2016,12342
708,6962181067,5/10/2016,15448
709,6962181067,5/11/2016,6722
710,6962181067,5/12/2016,3587
711,7007744171,4/12/2016,14172
712,7007744171,4/13/2016,12862
713,7007744171,4/14/2016,11179
714,7007744171,4/15/2016,5273
715,7007744171,4/16/2016,4631
716,7007744171,4/17/2016,8059
717,7007744171,4/18/2016,14816
718,7007744171,4/19/2016,14194
719,7007744171,4/20/2016,15566
720,7007744171,4/21/2016,13744
721,7007744171,4/22/2016,15299
722,7007744171,4/23/2016,8093
723,7007744171,4/24/2016,11085
724,7007744171,4/25/2016,18229
725,7007744171,4/26/2016,15090
726,7007744171,4/27/2016,13541
727,7007744171,4/28/2016,15128
728,7007744171,4/29/2016,20067
729,7007744171,4/30/2016,3761
730,7007744171,5/1/2016,5600
731,7007744171,5/2/2016,13041
732,7007744171,5/3/2016,14510
734,7007744171,5/5/2016,15010
735,7007744171,5/6/2016,11459
737,7086361926,4/12/2016,11317
738,7086361926,4/13/2016,5813
739,7086361926,4/14/2016,9123
740,7086361926,4/15/2016,8585
741,7086361926,4/16/2016,31
743,7086361926,4/18/2016,9827
744,7086361926,4/19/2016,10688
745,7086361926,4/20/2016,14365
746,7086361926,4/21/2016,9469
747,7086361926,4/22/2016,9753
748,7086361926,4/23/2016,2817
749,7086361926,4/24/2016,3520
750,7086361926,4/25/2016,10091
751,7086361926,4/26/2016,10387
752,7086361926,4/27/2016,11107
753,7086361926,4/28/2016,11584
754,7086361926,4/29/2016,7881
755,7086361926,4/30/2016,14560
756,7086361926,5/1/2016,12390
757,7086361926,5/2/2016,10052
758,7086361926,5/3/2016,10288
759,7086361926,5/4/2016,10988
760,7086361926,5/5/2016,8564
761,7086361926,5/6/2016,12461
762,7086361926,5/7/2016,12827
763,7086361926,5/8/2016,10677
764,7086361926,5/9/2016,13566
765,7086361926,5/10/2016,14433
766,7086361926,5/11/2016,9572
767,7086361926,5/12/2016,3789
768,8053475328,4/12/2016,18060
769,8053475328,4/13/2016,16433
770,8053475328,4/14/2016,20159
771,8053475328,4/15/2016,20669
772,8053475328,4/16/2016,14549
773,8053475328,4/17/2016,18827
774,8053475328,4/18/2016,17076
775,8053475328,4/19/2016,15929
776,8053475328,4/20/2016,15108
777,8053475328,4/21/2016,16057
778,8053475328,4/22/2016,10520
779,8053475328,4/23/2016,22359
781,8053475328,4/25/2016,20500
782,8053475328,4/26/2016,12685
783,8053475328,4/27/2016,12422
784,8053475328,4/28/2016,15447
785,8053475328,4/29/2016,12315
786,8053475328,4/30/2016,7135
787,8053475328,5/1/2016,1170
788,8053475328,5/2/2016,1969
789,8053475328,5/3/2016,15484
790,8053475328,5/4/2016,14581
791,8053475328,5/5/2016,14990
792,8053475328,5/6/2016,13953
793,8053475328,5/7/2016,19769
794,8053475328,5/8/2016,22026
795,8053475328,5/9/2016,12465
796,8053475328,5/10/2016,14810
797,8053475328,5/11/2016,12209
798,8053475328,5/12/2016,4998
799,8253242879,4/12/2016,9033
800,8253242879,4/13/2016,8053
801,8253242879,4/14/2016,5234
802,8253242879,4/15/2016,2672
803,8253242879,4/16/2016,9256
804,8253242879,4/17/2016,10204
805,8253242879,4/18/2016,5151
806,8253242879,4/19/2016,4212
807,8253242879,4/20/2016,6466
808,8253242879,4/21/2016,11268
809,8253242879,4/22/2016,2824
810,8253242879,4/23/2016,9282
811,8253242879,4/24/2016,8905
812,8253242879,4/25/2016,6829
813,8253242879,4/26/2016,4562
814,8253242879,4/27/2016,10232
815,8253242879,4/28/2016,2718
816,8253242879,4/29/2016,6260
818,8378563200,4/12/2016,7626
819,8378563200,4/13/2016,12386
820,8378563200,4/14/2016,13318
821,8378563200,4/15/2016,14461
822,8378563200,4/16/2016,11207
823,8378563200,4/17/2016,2132
824,8378563200,4/18/2016,13630
825,8378563200,4/19/2016,13070
826,8378563200,4/20/2016,9388
827,8378563200,4/21/2016,15148
828,8378563200,4/22/2016,12200
829,8378563200,4/23/2016,5709
830,8378563200,4/24/2016,3703
831,8378563200,4/25/2016,12405
832,8378563200,4/26/2016,16208
833,8378563200,4/27/2016,7359
834,8378563200,4/28/2016,5417
835,8378563200,4/29/2016,6175
836,8378563200,4/30/2016,2946
837,8378563200,5/1/2016,11419
838,8378563200,5/2/2016,6064
839,8378563200,5/3/2016,8712
840,8378563200,5/4/2016,7875
841,8378563200,5/5/2016,8567
842,8378563200,5/6/2016,7045
843,8378563200,5/7/2016,4468
844,8378563200,5/8/2016,2943
845,8378563200,5/9/2016,8382
846,8378563200,5/10/2016,6582
847,8378563200,5/11/2016,9143
848,8378563200,5/12/2016,4561
849,8583815059,4/12/2016,5014
850,8583815059,4/13/2016,5571
851,8583815059,4/14/2016,3135
852,8583815059,4/15/2016,3430
853,8583815059,4/16/2016,5319
854,8583815059,4/17/2016,3008
855,8583815059,4/18/2016,3864
856,8583815059,4/19/2016,5697
857,8583815059,4/20/2016,5273
858,8583815059,4/21/2016,8538
859,8583815059,4/22/2016,8687
860,8583815059,4/23/2016,9423
861,8583815059,4/24/2016,8286
862,8583815059,4/25/2016,4503
863,8583815059,4/26/2016,10499
864,8583815059,4/27/2016,12474
865,8583815059,4/28/2016,6174
866,8583815059,4/29/2016,15168
867,8583815059,4/30/2016,10085
868,8583815059,5/1/2016,4512
869,8583815059,5/2/2016,8469
870,8583815059,5/3/2016,12015
871,8583815059,5/4/2016,3588
872,8583815059,5/5/2016,12427
873,8583815059,5/6/2016,5843
874,8583815059,5/7/2016,6117
875,8583815059,5/8/2016,9217
876,8583815059,5/9/2016,9877
877,8583815059,5/10/2016,8240
878,8583815059,5/11/2016,8701
880,8792009665,4/12/2016,2564
881,8792009665,4/13/2016,1320
882,8792009665,4/14/2016,1219
883,8792009665,4/15/2016,2483
884,8792009665,4/16/2016,244
888,8792009665,4/20/2016,3147
889,8792009665,4/21/2016,144
890,8792009665,4/22/2016,4068
891,8792009665,4/23/2016,5245
892,8792009665,4/24/2016,400
894,8792009665,4/26/2016,1321
895,8792009665,4/27/2016,1758
896,8792009665,4/28/2016,6157
