,Id,ActivityHour,StepTotal
171,1503960366,4/19/2016 3:00:00 AM,9
174,1503960366,4/19/2016 6:00:00 AM,7
175,1503960366,4/19/2016 7:00:00 AM,316
176,1503960366,4/19/2016 8:00:00 AM,1656
177,1503960366,4/19/2016 9:00:00 AM,367
178,1503960366,4/19/2016 10:00:00 AM,203
179,1503960366,4/19/2016 11:00:00 AM,194
180,1503960366,4/19/2016 12:00:00 PM,1887
181,1503960366,4/19/2016 1:00:00 PM,2697
182,1503960366,4/19/2016 2:00:00 PM,409
183,1503960366,4/19/2016 3:00:00 PM,299
184,1503960366,4/19/2016 4:00:00 PM,297
185,1503960366,4/19/2016 5:00:00 PM,732
186,1503960366,4/19/2016 6:00:00 PM,1280
187,1503960366,4/19/2016 7:00:00 PM,397
188,1503960366,4/19/2016 8:00:00 PM,2487
189,1503960366,4/19/2016 9:00:00 PM,826
190,1503960366,4/19/2016 10:00:00 PM,52
191,1503960366,4/19/2016 11:00:00 PM,1369
192,1503960366,4/20/2016 12:00:00 AM,16
193,1503960366,4/20/2016 1:00:00 AM,36
199,1503960366,4/20/2016 7:00:00 AM,29
200,1503960366,4/20/2016 8:00:00 AM,264
201,1503960366,4/20/2016 9:00:00 AM,1993
202,1503960366,4/20/2016 10:00:00 AM,459
203,1503960366,4/20/2016 11:00:00 AM,65
204,1503960366,4/20/2016 12:00:00 PM,185
205,1503960366,4/20/2016 1:00:00 PM,64
206,1503960366,4/20/2016 2:00:00 PM,1270
207,1503960366,4/20/2016 3:00:00 PM,797
208,1503960366,4/20/2016 4:00:00 PM,261
209,1503960366,4/20/2016 5:00:00 PM,13
210,1503960366,4/20/2016 6:00:00 PM,1308
211,1503960366,4/20/2016 7:00:00 PM,1558
212,1503960366,4/20/2016 8:00:00 PM,499
213,1503960366,4/20/2016 9:00:00 PM,395
214,1503960366,4/20/2016 10:00:00 PM,77
215,1503960366,4/20/2016 11:00:00 PM,1255
216,1503960366,4/21/2016 12:00:00 AM,17
217,1503960366,4/21/2016 1:00:00 AM,129
218,1503960366,4/21/2016 2:00:00 AM,81
223,1503960366,4/21/2016 7:00:00 AM,38
224,1503960366,4/21/2016 8:00:00 AM,245
225,1503960366,4/21/2016 9:00:00 AM,1672
226,1503960366,4/21/2016 10:00:00 AM,255
228,1503960366,4/21/2016 12:00:00 PM,384
229,1503960366,4/21/2016 1:00:00 PM,1140
230,1503960366,4/21/2016 2:00:00 PM,12
231,1503960366,4/21/2016 3:00:00 PM,213
232,1503960366,4/21/2016 4:00:00 PM,26
233,1503960366,4/21/2016 5:00:00 PM,96
234,1503960366,4/21/2016 6:00:00 PM,213
235,1503960366,4/21/2016 7:00:00 PM,100
237,1503960366,4/21/2016 9:00:00 PM,970
238,1503960366,4/21/2016 10:00:00 PM,89
239,1503960366,4/21/2016 11:00:00 PM,598
249,1503960366,4/22/2016 9:00:00 AM,192
250,1503960366,4/22/2016 10:00:00 AM,29
251,1503960366,4/22/2016 11:00:00 AM,958
252,1503960366,4/22/2016 12:00:00 PM,38
253,1503960366,4/22/2016 1:00:00 PM,118
255,1503960366,4/22/2016 3:00:00 PM,180
256,1503960366,4/22/2016 4:00:00 PM,22
257,1503960366,4/22/2016 5:00:00 PM,1041
258,1503960366,4/22/2016 6:00:00 PM,514
259,1503960366,4/22/2016 7:00:00 PM,629
260,1503960366,4/22/2016 8:00:00 PM,329
262,1503960366,4/22/2016 10:00:00 PM,855
263,1503960366,4/22/2016 11:00:00 PM,1925
264,1503960366,4/23/2016 12:00:00 AM,182
266,1503960366,4/23/2016 2:00:00 AM,11
270,1503960366,4/23/2016 6:00:00 AM,12
272,1503960366,4/23/2016 8:00:00 AM,127
273,1503960366,4/23/2016 9:00:00 AM,285
274,1503960366,4/23/2016 10:00:00 AM,49
275,1503960366,4/23/2016 11:00:00 AM,703
276,1503960366,4/23/2016 12:00:00 PM,1597
277,1503960366,4/23/2016 1:00:00 PM,1453
278,1503960366,4/23/2016 2:00:00 PM,202
279,1503960366,4/23/2016 3:00:00 PM,158
280,1503960366,4/23/2016 4:00:00 PM,2008
281,1503960366,4/23/2016 5:00:00 PM,1472
282,1503960366,4/23/2016 6:00:00 PM,2569
283,1503960366,4/23/2016 7:00:00 PM,29
284,1503960366,4/23/2016 8:00:00 PM,142
285,1503960366,4/23/2016 9:00:00 PM,2432
286,1503960366,4/23/2016 10:00:00 PM,709
287,1503960366,4/23/2016 11:00:00 PM,231
288,1503960366,4/24/2016 12:00:00 AM,141
289,1503960366,4/24/2016 1:00:00 AM,42
292,1503960366,4/24/2016 4:00:00 AM,8
294,1503960366,4/24/2016 6:00:00 AM,7
296,1503960366,4/24/2016 8:00:00 AM,8
297,1503960366,4/24/2016 9:00:00 AM,76
298,1503960366,4/24/2016 10:00:00 AM,492
299,1503960366,4/24/2016 11:00:00 AM,149
300,1503960366,4/24/2016 12:00:00 PM,548
301,1503960366,4/24/2016 1:00:00 PM,394
302,1503960366,4/24/2016 2:00:00 PM,26
303,1503960366,4/24/2016 3:00:00 PM,27
304,1503960366,4/24/2016 4:00:00 PM,885
305,1503960366,4/24/2016 5:00:00 PM,411
306,1503960366,4/24/2016 6:00:00 PM,911
308,1503960366,4/24/2016 8:00:00 PM,342
309,1503960366,4/24/2016 9:00:00 PM,244
310,1503960366,4/24/2016 10:00:00 PM,66
311,1503960366,4/24/2016 11:00:00 PM,391
312,1503960366,4/25/2016 12:00:00 AM,95
313,1503960366,4/25/2016 1:00:00 AM,22
314,1503960366,4/25/2016 2:00:00 AM,97
316,1503960366,4/25/2016 4:00:00 AM,25
317,1503960366,4/25/2016 5:00:00 AM,4
319,1503960366,4/25/2016 7:00:00 AM,44
320,1503960366,4/25/2016 8:00:00 AM,426
321,1503960366,4/25/2016 9:00:00 AM,2041
322,1503960366,4/25/2016 10:00:00 AM,258
323,1503960366,4/25/2016 11:00:00 AM,1468
324,1503960366,4/25/2016 12:00:00 PM,707
325,1503960366,4/25/2016 1:00:00 PM,299
326,1503960366,4/25/2016 2:00:00 PM,94
327,1503960366,4/25/2016 3:00:00 PM,359
328,1503960366,4/25/2016 4:00:00 PM,263
329,1503960366,4/25/2016 5:00:00 PM,188
330,1503960366,4/25/2016 6:00:00 PM,116
331,1503960366,4/25/2016 7:00:00 PM,2815
332,1503960366,4/25/2016 8:00:00 PM,895
334,1503960366,4/25/2016 10:00:00 PM,188
335,1503960366,4/25/2016 11:00:00 PM,56
336,1503960366,4/26/2016 12:00:00 AM,101
337,1503960366,4/26/2016 1:00:00 AM,178
339,1503960366,4/26/2016 3:00:00 AM,145
341,1503960366,4/26/2016 5:00:00 AM,7
343,1503960366,4/26/2016 7:00:00 AM,28
344,1503960366,4/26/2016 8:00:00 AM,173
345,1503960366,4/26/2016 9:00:00 AM,1826
346,1503960366,4/26/2016 10:00:00 AM,666
347,1503960366,4/26/2016 11:00:00 AM,266
348,1503960366,4/26/2016 12:00:00 PM,415
349,1503960366,4/26/2016 1:00:00 PM,1571
350,1503960366,4/26/2016 2:00:00 PM,1998
351,1503960366,4/26/2016 3:00:00 PM,323
352,1503960366,4/26/2016 4:00:00 PM,697
353,1503960366,4/26/2016 5:00:00 PM,143
354,1503960366,4/26/2016 6:00:00 PM,2513
355,1503960366,4/26/2016 7:00:00 PM,148
356,1503960366,4/26/2016 8:00:00 PM,1649
357,1503960366,4/26/2016 9:00:00 PM,450
358,1503960366,4/26/2016 10:00:00 PM,148
359,1503960366,4/26/2016 11:00:00 PM,310
360,1503960366,4/27/2016 12:00:00 AM,277
361,1503960366,4/27/2016 1:00:00 AM,60
362,1503960366,4/27/2016 2:00:00 AM,17
369,1503960366,4/27/2016 9:00:00 AM,1916
370,1503960366,4/27/2016 10:00:00 AM,502
371,1503960366,4/27/2016 11:00:00 AM,797
372,1503960366,4/27/2016 12:00:00 PM,701
373,1503960366,4/27/2016 1:00:00 PM,319
374,1503960366,4/27/2016 2:00:00 PM,1932
375,1503960366,4/27/2016 3:00:00 PM,59
376,1503960366,4/27/2016 4:00:00 PM,98
377,1503960366,4/27/2016 5:00:00 PM,261
378,1503960366,4/27/2016 6:00:00 PM,2714
380,1503960366,4/27/2016 8:00:00 PM,2420
381,1503960366,4/27/2016 9:00:00 PM,266
385,1503960366,4/28/2016 1:00:00 AM,127
391,1503960366,4/28/2016 7:00:00 AM,14
392,1503960366,4/28/2016 8:00:00 AM,128
393,1503960366,4/28/2016 9:00:00 AM,1192
394,1503960366,4/28/2016 10:00:00 AM,987
395,1503960366,4/28/2016 11:00:00 AM,288
396,1503960366,4/28/2016 12:00:00 PM,317
397,1503960366,4/28/2016 1:00:00 PM,1144
398,1503960366,4/28/2016 2:00:00 PM,1512
399,1503960366,4/28/2016 3:00:00 PM,115
400,1503960366,4/28/2016 4:00:00 PM,554
401,1503960366,4/28/2016 5:00:00 PM,235
402,1503960366,4/28/2016 6:00:00 PM,1829
403,1503960366,4/28/2016 7:00:00 PM,13
404,1503960366,4/28/2016 8:00:00 PM,2122
405,1503960366,4/28/2016 9:00:00 PM,986
406,1503960366,4/28/2016 10:00:00 PM,16
407,1503960366,4/28/2016 11:00:00 PM,1512
408,1503960366,4/29/2016 12:00:00 AM,202
410,1503960366,4/29/2016 2:00:00 AM,71
415,1503960366,4/29/2016 7:00:00 AM,27
416,1503960366,4/29/2016 8:00:00 AM,201
417,1503960366,4/29/2016 9:00:00 AM,1820
418,1503960366,4/29/2016 10:00:00 AM,44
419,1503960366,4/29/2016 11:00:00 AM,104
420,1503960366,4/29/2016 12:00:00 PM,214
421,1503960366,4/29/2016 1:00:00 PM,41
422,1503960366,4/29/2016 2:00:00 PM,1711
423,1503960366,4/29/2016 3:00:00 PM,1076
424,1503960366,4/29/2016 4:00:00 PM,285
425,1503960366,4/29/2016 5:00:00 PM,380
426,1503960366,4/29/2016 6:00:00 PM,118
427,1503960366,4/29/2016 7:00:00 PM,267
428,1503960366,4/29/2016 8:00:00 PM,386
429,1503960366,4/29/2016 9:00:00 PM,1366
430,1503960366,4/29/2016 10:00:00 PM,1111
431,1503960366,4/29/2016 11:00:00 PM,1757
432,1503960366,4/30/2016 12:00:00 AM,19
433,1503960366,4/30/2016 1:00:00 AM,65
435,1503960366,4/30/2016 3:00:00 AM,6
440,1503960366,4/30/2016 8:00:00 AM,60
441,1503960366,4/30/2016 9:00:00 AM,148
442,1503960366,4/30/2016 10:00:00 AM,239
443,1503960366,4/30/2016 11:00:00 AM,127
444,1503960366,4/30/2016 12:00:00 PM,92
445,1503960366,4/30/2016 1:00:00 PM,141
446,1503960366,4/30/2016 2:00:00 PM,520
447,1503960366,4/30/2016 3:00:00 PM,993
449,1503960366,4/30/2016 5:00:00 PM,2176
450,1503960366,4/30/2016 6:00:00 PM,2319
451,1503960366,4/30/2016 7:00:00 PM,92
452,1503960366,4/30/2016 8:00:00 PM,117
453,1503960366,4/30/2016 9:00:00 PM,840
454,1503960366,4/30/2016 10:00:00 PM,2139
455,1503960366,4/30/2016 11:00:00 PM,1192
456,1503960366,5/1/2016 12:00:00 AM,247
457,1503960366,5/1/2016 1:00:00 AM,59
458,1503960366,5/1/2016 2:00:00 AM,36
459,1503960366,5/1/2016 3:00:00 AM,4
463,1503960366,5/1/2016 7:00:00 AM,41
464,1503960366,5/1/2016 8:00:00 AM,94
465,1503960366,5/1/2016 9:00:00 AM,198
466,1503960366,5/1/2016 10:00:00 AM,146
467,1503960366,5/1/2016 11:00:00 AM,103
468,1503960366,5/1/2016 12:00:00 PM,130
469,1503960366,5/1/2016 1:00:00 PM,85
470,1503960366,5/1/2016 2:00:00 PM,540
471,1503960366,5/1/2016 3:00:00 PM,294
472,1503960366,5/1/2016 4:00:00 PM,823
473,1503960366,5/1/2016 5:00:00 PM,1053
474,1503960366,5/1/2016 6:00:00 PM,2007
475,1503960366,5/1/2016 7:00:00 PM,177
476,1503960366,5/1/2016 8:00:00 PM,93
477,1503960366,5/1/2016 9:00:00 PM,363
478,1503960366,5/1/2016 10:00:00 PM,1552
479,1503960366,5/1/2016 11:00:00 PM,2557
481,1503960366,5/2/2016 1:00:00 AM,119
483,1503960366,5/2/2016 3:00:00 AM,21
487,1503960366,5/2/2016 7:00:00 AM,28
488,1503960366,5/2/2016 8:00:00 AM,245
489,1503960366,5/2/2016 9:00:00 AM,1690
490,1503960366,5/2/2016 10:00:00 AM,369
491,1503960366,5/2/2016 11:00:00 AM,384
492,1503960366,5/2/2016 12:00:00 PM,2116
493,1503960366,5/2/2016 1:00:00 PM,1064
494,1503960366,5/2/2016 2:00:00 PM,355
495,1503960366,5/2/2016 3:00:00 PM,418
496,1503960366,5/2/2016 4:00:00 PM,420
497,1503960366,5/2/2016 5:00:00 PM,340
498,1503960366,5/2/2016 6:00:00 PM,227
499,1503960366,5/2/2016 7:00:00 PM,235
501,1503960366,5/2/2016 9:00:00 PM,1427
502,1503960366,5/2/2016 10:00:00 PM,945
503,1503960366,5/2/2016 11:00:00 PM,404
504,1503960366,5/3/2016 12:00:00 AM,55
505,1503960366,5/3/2016 1:00:00 AM,79
506,1503960366,5/3/2016 2:00:00 AM,20
507,1503960366,5/3/2016 3:00:00 AM,110
510,1503960366,5/3/2016 6:00:00 AM,16
511,1503960366,5/3/2016 7:00:00 AM,23
512,1503960366,5/3/2016 8:00:00 AM,158
513,1503960366,5/3/2016 9:00:00 AM,1391
514,1503960366,5/3/2016 10:00:00 AM,955
515,1503960366,5/3/2016 11:00:00 AM,297
516,1503960366,5/3/2016 12:00:00 PM,396
517,1503960366,5/3/2016 1:00:00 PM,309
518,1503960366,5/3/2016 2:00:00 PM,384
519,1503960366,5/3/2016 3:00:00 PM,1719
520,1503960366,5/3/2016 4:00:00 PM,870
521,1503960366,5/3/2016 5:00:00 PM,690
523,1503960366,5/3/2016 7:00:00 PM,140
524,1503960366,5/3/2016 8:00:00 PM,6
525,1503960366,5/3/2016 9:00:00 PM,1333
526,1503960366,5/3/2016 10:00:00 PM,2549
527,1503960366,5/3/2016 11:00:00 PM,484
528,1503960366,5/4/2016 12:00:00 AM,400
529,1503960366,5/4/2016 1:00:00 AM,18
536,1503960366,5/4/2016 8:00:00 AM,68
537,1503960366,5/4/2016 9:00:00 AM,1470
538,1503960366,5/4/2016 10:00:00 AM,598
539,1503960366,5/4/2016 11:00:00 AM,194
540,1503960366,5/4/2016 12:00:00 PM,366
541,1503960366,5/4/2016 1:00:00 PM,318
542,1503960366,5/4/2016 2:00:00 PM,2284
543,1503960366,5/4/2016 3:00:00 PM,138
544,1503960366,5/4/2016 4:00:00 PM,144
545,1503960366,5/4/2016 5:00:00 PM,341
546,1503960366,5/4/2016 6:00:00 PM,2041
547,1503960366,5/4/2016 7:00:00 PM,205
548,1503960366,5/4/2016 8:00:00 PM,1316
549,1503960366,5/4/2016 9:00:00 PM,1106
550,1503960366,5/4/2016 10:00:00 PM,93
552,1503960366,5/5/2016 12:00:00 AM,70
553,1503960366,5/5/2016 1:00:00 AM,113
554,1503960366,5/5/2016 2:00:00 AM,19
556,1503960366,5/5/2016 4:00:00 AM,44
558,1503960366,5/5/2016 6:00:00 AM,8
559,1503960366,5/5/2016 7:00:00 AM,23
560,1503960366,5/5/2016 8:00:00 AM,107
561,1503960366,5/5/2016 9:00:00 AM,1615
562,1503960366,5/5/2016 10:00:00 AM,360
563,1503960366,5/5/2016 11:00:00 AM,28
564,1503960366,5/5/2016 12:00:00 PM,318
565,1503960366,5/5/2016 1:00:00 PM,1231
566,1503960366,5/5/2016 2:00:00 PM,375
567,1503960366,5/5/2016 3:00:00 PM,187
568,1503960366,5/5/2016 4:00:00 PM,989
569,1503960366,5/5/2016 5:00:00 PM,2217
570,1503960366,5/5/2016 6:00:00 PM,715
571,1503960366,5/5/2016 7:00:00 PM,348
572,1503960366,5/5/2016 8:00:00 PM,283
574,1503960366,5/5/2016 10:00:00 PM,900
575,1503960366,5/5/2016 11:00:00 PM,200
576,1503960366,5/6/2016 12:00:00 AM,186
577,1503960366,5/6/2016 1:00:00 AM,4
578,1503960366,5/6/2016 2:00:00 AM,88
580,1503960366,5/6/2016 4:00:00 AM,19
583,1503960366,5/6/2016 7:00:00 AM,23
584,1503960366,5/6/2016 8:00:00 AM,146
585,1503960366,5/6/2016 9:00:00 AM,1683
586,1503960366,5/6/2016 10:00:00 AM,504
587,1503960366,5/6/2016 11:00:00 AM,234
588,1503960366,5/6/2016 12:00:00 PM,261
589,1503960366,5/6/2016 1:00:00 PM,175
590,1503960366,5/6/2016 2:00:00 PM,535
591,1503960366,5/6/2016 3:00:00 PM,900
592,1503960366,5/6/2016 4:00:00 PM,335
593,1503960366,5/6/2016 5:00:00 PM,279
594,1503960366,5/6/2016 6:00:00 PM,1532
595,1503960366,5/6/2016 7:00:00 PM,2500
596,1503960366,5/6/2016 8:00:00 PM,255
597,1503960366,5/6/2016 9:00:00 PM,514
598,1503960366,5/6/2016 10:00:00 PM,375
599,1503960366,5/6/2016 11:00:00 PM,1611
600,1503960366,5/7/2016 12:00:00 AM,168
602,1503960366,5/7/2016 2:00:00 AM,19
608,1503960366,5/7/2016 8:00:00 AM,132
609,1503960366,5/7/2016 9:00:00 AM,115
610,1503960366,5/7/2016 10:00:00 AM,1291
611,1503960366,5/7/2016 11:00:00 AM,2352
612,1503960366,5/7/2016 12:00:00 PM,129
613,1503960366,5/7/2016 1:00:00 PM,77
614,1503960366,5/7/2016 2:00:00 PM,125
615,1503960366,5/7/2016 3:00:00 PM,318
616,1503960366,5/7/2016 4:00:00 PM,259
617,1503960366,5/7/2016 5:00:00 PM,173
618,1503960366,5/7/2016 6:00:00 PM,253
619,1503960366,5/7/2016 7:00:00 PM,652
620,1503960366,5/7/2016 8:00:00 PM,102
621,1503960366,5/7/2016 9:00:00 PM,2073
623,1503960366,5/7/2016 11:00:00 PM,58
624,1503960366,5/8/2016 12:00:00 AM,147
628,1503960366,5/8/2016 4:00:00 AM,6
630,1503960366,5/8/2016 6:00:00 AM,7
636,1503960366,5/8/2016 12:00:00 PM,511
637,1503960366,5/8/2016 1:00:00 PM,227
638,1503960366,5/8/2016 2:00:00 PM,660
639,1503960366,5/8/2016 3:00:00 PM,341
640,1503960366,5/8/2016 4:00:00 PM,100
641,1503960366,5/8/2016 5:00:00 PM,240
643,1503960366,5/8/2016 7:00:00 PM,1069
644,1503960366,5/8/2016 8:00:00 PM,793
645,1503960366,5/8/2016 9:00:00 PM,663
646,1503960366,5/8/2016 10:00:00 PM,553
647,1503960366,5/8/2016 11:00:00 PM,271
648,1503960366,5/9/2016 12:00:00 AM,135
653,1503960366,5/9/2016 5:00:00 AM,14
654,1503960366,5/9/2016 6:00:00 AM,408
655,1503960366,5/9/2016 7:00:00 AM,214
656,1503960366,5/9/2016 8:00:00 AM,109
657,1503960366,5/9/2016 9:00:00 AM,160
658,1503960366,5/9/2016 10:00:00 AM,322
659,1503960366,5/9/2016 11:00:00 AM,477
660,1503960366,5/9/2016 12:00:00 PM,507
661,1503960366,5/9/2016 1:00:00 PM,7
663,1503960366,5/9/2016 3:00:00 PM,22
664,1503960366,5/9/2016 4:00:00 PM,2692
665,1503960366,5/9/2016 5:00:00 PM,1260
666,1503960366,5/9/2016 6:00:00 PM,624
667,1503960366,5/9/2016 7:00:00 PM,1062
668,1503960366,5/9/2016 8:00:00 PM,1325
669,1503960366,5/9/2016 9:00:00 PM,2684
673,1503960366,5/10/2016 1:00:00 AM,92
679,1503960366,5/10/2016 7:00:00 AM,47
680,1503960366,5/10/2016 8:00:00 AM,227
681,1503960366,5/10/2016 9:00:00 AM,1461
682,1503960366,5/10/2016 10:00:00 AM,258
683,1503960366,5/10/2016 11:00:00 AM,988
684,1503960366,5/10/2016 12:00:00 PM,74
685,1503960366,5/10/2016 1:00:00 PM,234
686,1503960366,5/10/2016 2:00:00 PM,159
687,1503960366,5/10/2016 3:00:00 PM,1038
688,1503960366,5/10/2016 4:00:00 PM,312
689,1503960366,5/10/2016 5:00:00 PM,645
690,1503960366,5/10/2016 6:00:00 PM,2494
691,1503960366,5/10/2016 7:00:00 PM,1418
692,1503960366,5/10/2016 8:00:00 PM,2480
693,1503960366,5/10/2016 9:00:00 PM,251
695,1503960366,5/10/2016 11:00:00 PM,29
696,1503960366,5/11/2016 12:00:00 AM,266
697,1503960366,5/11/2016 1:00:00 AM,45
698,1503960366,5/11/2016 2:00:00 AM,73
699,1503960366,5/11/2016 3:00:00 AM,10
703,1503960366,5/11/2016 7:00:00 AM,47
704,1503960366,5/11/2016 8:00:00 AM,312
705,1503960366,5/11/2016 9:00:00 AM,1914
706,1503960366,5/11/2016 10:00:00 AM,644
707,1503960366,5/11/2016 11:00:00 AM,259
708,1503960366,5/11/2016 12:00:00 PM,116
709,1503960366,5/11/2016 1:00:00 PM,811
710,1503960366,5/11/2016 2:00:00 PM,1560
711,1503960366,5/11/2016 3:00:00 PM,348
712,1503960366,5/11/2016 4:00:00 PM,289
713,1503960366,5/11/2016 5:00:00 PM,245
715,1503960366,5/11/2016 7:00:00 PM,293
716,1503960366,5/11/2016 8:00:00 PM,1209
717,1624580081,4/12/2016 12:00:00 AM,31
720,1624580081,4/12/2016 3:00:00 AM,7
726,1624580081,4/12/2016 9:00:00 AM,1085
728,1624580081,4/12/2016 11:00:00 AM,129
729,1624580081,4/12/2016 12:00:00 PM,81
730,1624580081,4/12/2016 1:00:00 PM,67
731,1624580081,4/12/2016 2:00:00 PM,43
733,1624580081,4/12/2016 4:00:00 PM,79
734,1624580081,4/12/2016 5:00:00 PM,235
735,1624580081,4/12/2016 6:00:00 PM,257
736,1624580081,4/12/2016 7:00:00 PM,501
737,1624580081,4/12/2016 8:00:00 PM,99
740,1624580081,4/12/2016 11:00:00 PM,174
741,1624580081,4/13/2016 12:00:00 AM,75
