,Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
138,4319703577,5/8/2016 12:00:00 AM,1,602,638
139,4319703577,5/9/2016 12:00:00 AM,1,535,565
140,4319703577,5/10/2016 12:00:00 AM,1,487,517
141,4319703577,5/11/2016 12:00:00 AM,1,529,558
142,4319703577,5/12/2016 12:00:00 AM,1,302,321
143,4388161847,4/15/2016 12:00:00 AM,1,499,526
144,4388161847,4/16/2016 12:00:00 AM,2,426,448
145,4388161847,4/17/2016 12:00:00 AM,2,619,641
146,4388161847,4/18/2016 12:00:00 AM,1,99,104
147,4388161847,4/19/2016 12:00:00 AM,1,329,338
148,4388161847,4/20/2016 12:00:00 AM,1,421,451
149,4388161847,4/21/2016 12:00:00 AM,1,442,458
150,4388161847,4/22/2016 12:00:00 AM,1,82,85
151,4388161847,4/23/2016 12:00:00 AM,1,478,501
152,4388161847,4/24/2016 12:00:00 AM,3,552,595
153,4388161847,4/26/2016 12:00:00 AM,1,319,346
154,4388161847,4/27/2016 12:00:00 AM,1,439,500
155,4388161847,4/28/2016 12:00:00 AM,1,428,458
156,4388161847,4/30/2016 12:00:00 AM,2,409,430
157,4388161847,5/1/2016 12:00:00 AM,1,547,597
158,4388161847,5/2/2016 12:00:00 AM,2,368,376
159,4388161847,5/4/2016 12:00:00 AM,1,390,414
160,4388161847,5/5/2016 12:00:00 AM,1,471,495
162,4388161847,5/7/2016 12:00:00 AM,1,472,496
163,4388161847,5/8/2016 12:00:00 AM,2,529,541
165,4388161847,5/10/2016 12:00:00 AM,1,354,375
166,4388161847,5/11/2016 12:00:00 AM,1,469,494
167,4445114986,4/12/2016 12:00:00 AM,2,429,457
168,4445114986,4/13/2016 12:00:00 AM,2,370,406
169,4445114986,4/14/2016 12:00:00 AM,1,441,492
170,4445114986,4/15/2016 12:00:00 AM,2,337,379
171,4445114986,4/16/2016 12:00:00 AM,1,462,499
172,4445114986,4/17/2016 12:00:00 AM,1,98,107
173,4445114986,4/19/2016 12:00:00 AM,2,388,424
174,4445114986,4/20/2016 12:00:00 AM,1,439,462
175,4445114986,4/21/2016 12:00:00 AM,1,436,469
176,4445114986,4/22/2016 12:00:00 AM,1,388,417
177,4445114986,4/25/2016 12:00:00 AM,1,328,345
178,4445114986,4/26/2016 12:00:00 AM,2,353,391
179,4445114986,4/27/2016 12:00:00 AM,1,332,374
180,4445114986,4/28/2016 12:00:00 AM,1,419,442
181,4445114986,4/29/2016 12:00:00 AM,1,106,108
182,4445114986,4/30/2016 12:00:00 AM,1,322,353
183,4445114986,5/1/2016 12:00:00 AM,2,439,459
184,4445114986,5/2/2016 12:00:00 AM,1,502,542
185,4445114986,5/3/2016 12:00:00 AM,2,417,450
186,4445114986,5/4/2016 12:00:00 AM,2,337,363
187,4445114986,5/5/2016 12:00:00 AM,2,462,513
188,4445114986,5/6/2016 12:00:00 AM,2,374,402
189,4445114986,5/7/2016 12:00:00 AM,2,401,436
190,4445114986,5/8/2016 12:00:00 AM,1,361,391
191,4445114986,5/9/2016 12:00:00 AM,1,457,533
192,4445114986,5/10/2016 12:00:00 AM,1,405,426
193,4445114986,5/11/2016 12:00:00 AM,1,499,530
194,4445114986,5/12/2016 12:00:00 AM,1,483,501
195,4558609924,4/21/2016 12:00:00 AM,1,126,137
196,4558609924,4/26/2016 12:00:00 AM,1,103,121
197,4558609924,4/29/2016 12:00:00 AM,1,171,179
198,4558609924,5/1/2016 12:00:00 AM,1,115,129
199,4558609924,5/8/2016 12:00:00 AM,1,123,134
200,4702921684,4/12/2016 12:00:00 AM,1,425,439
201,4702921684,4/13/2016 12:00:00 AM,2,400,430
202,4702921684,4/14/2016 12:00:00 AM,1,384,415
203,4702921684,4/15/2016 12:00:00 AM,1,253,257
204,4702921684,4/16/2016 12:00:00 AM,2,382,406
205,4702921684,4/17/2016 12:00:00 AM,1,591,612
206,4702921684,4/18/2016 12:00:00 AM,1,293,312
207,4702921684,4/19/2016 12:00:00 AM,1,457,487
208,4702921684,4/20/2016 12:00:00 AM,1,454,468
209,4702921684,4/21/2016 12:00:00 AM,1,425,434
210,4702921684,4/23/2016 12:00:00 AM,1,465,475
211,4702921684,4/24/2016 12:00:00 AM,1,480,506
212,4702921684,4/25/2016 12:00:00 AM,1,370,380
213,4702921684,4/26/2016 12:00:00 AM,1,421,429
214,4702921684,4/27/2016 12:00:00 AM,1,432,449
215,4702921684,4/28/2016 12:00:00 AM,1,442,461
216,4702921684,4/29/2016 12:00:00 AM,1,433,447
217,4702921684,4/30/2016 12:00:00 AM,1,479,501
218,4702921684,5/3/2016 12:00:00 AM,1,327,373
219,4702921684,5/4/2016 12:00:00 AM,1,412,434
220,4702921684,5/5/2016 12:00:00 AM,1,414,428
221,4702921684,5/6/2016 12:00:00 AM,1,404,449
222,4702921684,5/7/2016 12:00:00 AM,1,520,543
224,4702921684,5/9/2016 12:00:00 AM,1,435,458
225,4702921684,5/10/2016 12:00:00 AM,1,416,431
226,4702921684,5/11/2016 12:00:00 AM,1,354,366
227,4702921684,5/12/2016 12:00:00 AM,1,404,442
228,5553957443,4/12/2016 12:00:00 AM,1,441,464
229,5553957443,4/13/2016 12:00:00 AM,2,455,488
230,5553957443,4/14/2016 12:00:00 AM,1,357,418
231,5553957443,4/15/2016 12:00:00 AM,1,377,409
232,5553957443,4/16/2016 12:00:00 AM,2,651,686
233,5553957443,4/17/2016 12:00:00 AM,1,350,402
234,5553957443,4/18/2016 12:00:00 AM,2,520,541
235,5553957443,4/19/2016 12:00:00 AM,1,357,410
236,5553957443,4/20/2016 12:00:00 AM,1,658,678
237,5553957443,4/21/2016 12:00:00 AM,1,399,431
238,5553957443,4/22/2016 12:00:00 AM,1,322,353
239,5553957443,4/23/2016 12:00:00 AM,2,631,725
240,5553957443,4/24/2016 12:00:00 AM,2,553,640
241,5553957443,4/25/2016 12:00:00 AM,1,433,468
242,5553957443,4/26/2016 12:00:00 AM,1,412,453
243,5553957443,4/27/2016 12:00:00 AM,1,347,391
244,5553957443,4/28/2016 12:00:00 AM,1,421,457
245,5553957443,4/29/2016 12:00:00 AM,1,450,495
247,5553957443,5/1/2016 12:00:00 AM,2,622,686
248,5553957443,5/2/2016 12:00:00 AM,1,409,471
249,5553957443,5/3/2016 12:00:00 AM,1,380,429
250,5553957443,5/4/2016 12:00:00 AM,1,447,470
251,5553957443,5/5/2016 12:00:00 AM,1,419,464
252,5553957443,5/6/2016 12:00:00 AM,1,400,434
253,5553957443,5/7/2016 12:00:00 AM,1,442,470
254,5553957443,5/8/2016 12:00:00 AM,1,568,608
255,5553957443,5/9/2016 12:00:00 AM,1,453,494
256,5553957443,5/10/2016 12:00:00 AM,1,418,443
257,5553957443,5/11/2016 12:00:00 AM,1,463,486
258,5553957443,5/12/2016 12:00:00 AM,1,438,475
259,5577150313,4/12/2016 12:00:00 AM,1,419,438
260,5577150313,4/13/2016 12:00:00 AM,1,432,458
261,5577150313,4/14/2016 12:00:00 AM,1,477,497
262,5577150313,4/15/2016 12:00:00 AM,1,392,413
263,5577150313,4/16/2016 12:00:00 AM,1,406,445
264,5577150313,4/17/2016 12:00:00 AM,1,549,583
265,5577150313,4/18/2016 12:00:00 AM,1,527,553
266,5577150313,4/19/2016 12:00:00 AM,1,449,465
267,5577150313,4/20/2016 12:00:00 AM,1,447,480
268,5577150313,4/21/2016 12:00:00 AM,1,414,437
269,5577150313,4/22/2016 12:00:00 AM,1,338,366
270,5577150313,4/23/2016 12:00:00 AM,1,384,402
271,5577150313,4/24/2016 12:00:00 AM,1,543,615
272,5577150313,4/25/2016 12:00:00 AM,1,421,461
273,5577150313,4/26/2016 12:00:00 AM,1,354,377
274,5577150313,4/27/2016 12:00:00 AM,1,424,452
275,5577150313,4/28/2016 12:00:00 AM,1,361,372
276,5577150313,4/29/2016 12:00:00 AM,1,459,485
277,5577150313,4/30/2016 12:00:00 AM,1,412,433
278,5577150313,5/1/2016 12:00:00 AM,1,379,398
279,5577150313,5/2/2016 12:00:00 AM,2,525,553
280,5577150313,5/3/2016 12:00:00 AM,1,508,543
281,5577150313,5/4/2016 12:00:00 AM,1,603,634
282,5577150313,5/5/2016 12:00:00 AM,1,74,78
283,5577150313,5/10/2016 12:00:00 AM,1,504,562
284,5577150313,5/11/2016 12:00:00 AM,1,431,476
285,6117666160,4/16/2016 12:00:00 AM,1,380,398
286,6117666160,4/17/2016 12:00:00 AM,2,336,350
287,6117666160,4/18/2016 12:00:00 AM,2,493,510
288,6117666160,4/19/2016 12:00:00 AM,1,465,492
289,6117666160,4/20/2016 12:00:00 AM,1,474,502
290,6117666160,4/21/2016 12:00:00 AM,1,508,550
291,6117666160,4/22/2016 12:00:00 AM,1,480,546
292,6117666160,4/23/2016 12:00:00 AM,1,492,539
293,6117666160,4/24/2016 12:00:00 AM,1,353,367
294,6117666160,4/27/2016 12:00:00 AM,1,542,557
295,6117666160,4/28/2016 12:00:00 AM,1,393,416
296,6117666160,4/29/2016 12:00:00 AM,1,600,636
297,6117666160,5/1/2016 12:00:00 AM,1,507,575
298,6117666160,5/5/2016 12:00:00 AM,1,392,415
299,6117666160,5/6/2016 12:00:00 AM,2,658,698
300,6117666160,5/7/2016 12:00:00 AM,2,498,507
301,6117666160,5/8/2016 12:00:00 AM,1,555,603
302,6117666160,5/9/2016 12:00:00 AM,1,492,522
303,6775888955,4/13/2016 12:00:00 AM,1,235,260
304,6775888955,4/14/2016 12:00:00 AM,1,423,441
305,6775888955,4/15/2016 12:00:00 AM,1,391,406
306,6962181067,4/12/2016 12:00:00 AM,1,366,387
307,6962181067,4/13/2016 12:00:00 AM,3,630,679
308,6962181067,4/14/2016 12:00:00 AM,2,508,535
309,6962181067,4/15/2016 12:00:00 AM,1,370,386
310,6962181067,4/16/2016 12:00:00 AM,1,357,366
311,6962181067,4/17/2016 12:00:00 AM,1,427,446
312,6962181067,4/18/2016 12:00:00 AM,1,442,458
313,6962181067,4/19/2016 12:00:00 AM,1,476,535
314,6962181067,4/20/2016 12:00:00 AM,1,418,424
315,6962181067,4/21/2016 12:00:00 AM,1,451,457
316,6962181067,4/22/2016 12:00:00 AM,1,425,435
317,6962181067,4/23/2016 12:00:00 AM,1,528,546
318,6962181067,4/24/2016 12:00:00 AM,1,511,514
319,6962181067,4/25/2016 12:00:00 AM,1,400,415
320,6962181067,4/26/2016 12:00:00 AM,1,441,446
321,6962181067,4/27/2016 12:00:00 AM,1,455,467
322,6962181067,4/28/2016 12:00:00 AM,1,440,453
323,6962181067,4/29/2016 12:00:00 AM,1,433,447
324,6962181067,4/30/2016 12:00:00 AM,1,422,424
325,6962181067,5/1/2016 12:00:00 AM,1,411,426
326,6962181067,5/2/2016 12:00:00 AM,1,466,482
327,6962181067,5/3/2016 12:00:00 AM,1,394,418
328,6962181067,5/4/2016 12:00:00 AM,1,442,455
329,6962181067,5/5/2016 12:00:00 AM,1,467,491
330,6962181067,5/6/2016 12:00:00 AM,1,443,462
331,6962181067,5/7/2016 12:00:00 AM,1,298,334
332,6962181067,5/8/2016 12:00:00 AM,1,541,569
333,6962181067,5/9/2016 12:00:00 AM,1,489,497
334,6962181067,5/10/2016 12:00:00 AM,1,469,481
335,6962181067,5/11/2016 12:00:00 AM,1,452,480
336,6962181067,5/12/2016 12:00:00 AM,1,516,535
337,7007744171,4/16/2016 12:00:00 AM,1,79,82
339,7086361926,4/12/2016 12:00:00 AM,1,514,525
340,7086361926,4/13/2016 12:00:00 AM,1,451,465
341,7086361926,4/14/2016 12:00:00 AM,1,472,476
342,7086361926,4/15/2016 12:00:00 AM,1,377,386
343,7086361926,4/19/2016 12:00:00 AM,1,472,483
344,7086361926,4/20/2016 12:00:00 AM,1,492,502
345,7086361926,4/21/2016 12:00:00 AM,1,390,411
346,7086361926,4/22/2016 12:00:00 AM,1,428,448
347,7086361926,4/24/2016 12:00:00 AM,1,681,704
348,7086361926,4/25/2016 12:00:00 AM,1,446,447
349,7086361926,4/26/2016 12:00:00 AM,1,485,500
350,7086361926,4/27/2016 12:00:00 AM,1,469,479
351,7086361926,4/28/2016 12:00:00 AM,1,354,367
352,7086361926,4/30/2016 12:00:00 AM,1,485,489
353,7086361926,5/1/2016 12:00:00 AM,1,388,407
354,7086361926,5/2/2016 12:00:00 AM,1,440,459
355,7086361926,5/3/2016 12:00:00 AM,1,456,461
356,7086361926,5/4/2016 12:00:00 AM,1,420,436
357,7086361926,5/6/2016 12:00:00 AM,1,322,333
358,7086361926,5/7/2016 12:00:00 AM,1,530,548
359,7086361926,5/8/2016 12:00:00 AM,1,481,510
360,7086361926,5/9/2016 12:00:00 AM,1,427,438
361,7086361926,5/11/2016 12:00:00 AM,1,451,463
362,7086361926,5/12/2016 12:00:00 AM,1,444,457
363,8053475328,4/20/2016 12:00:00 AM,1,486,493
364,8053475328,4/23/2016 12:00:00 AM,1,331,337
365,8053475328,5/7/2016 12:00:00 AM,1,74,75
366,8378563200,4/12/2016 12:00:00 AM,1,338,356
367,8378563200,4/13/2016 12:00:00 AM,2,447,487
368,8378563200,4/14/2016 12:00:00 AM,1,424,455
369,8378563200,4/15/2016 12:00:00 AM,1,513,533
370,8378563200,4/16/2016 12:00:00 AM,2,611,689
371,8378563200,4/17/2016 12:00:00 AM,2,525,591
372,8378563200,4/18/2016 12:00:00 AM,1,398,451
373,8378563200,4/19/2016 12:00:00 AM,1,387,421
374,8378563200,4/20/2016 12:00:00 AM,1,381,409
375,8378563200,4/21/2016 12:00:00 AM,1,396,417
376,8378563200,4/22/2016 12:00:00 AM,1,441,469
377,8378563200,4/23/2016 12:00:00 AM,1,565,591
378,8378563200,4/24/2016 12:00:00 AM,1,458,492
379,8378563200,4/25/2016 12:00:00 AM,1,388,402
381,8378563200,4/26/2016 12:00:00 AM,1,550,584
382,8378563200,4/27/2016 12:00:00 AM,1,531,600
383,8378563200,4/28/2016 12:00:00 AM,1,506,556
384,8378563200,4/29/2016 12:00:00 AM,1,527,562
385,8378563200,4/30/2016 12:00:00 AM,1,468,555
386,8378563200,5/1/2016 12:00:00 AM,1,475,539
387,8378563200,5/2/2016 12:00:00 AM,1,351,385
388,8378563200,5/3/2016 12:00:00 AM,1,405,429
389,8378563200,5/4/2016 12:00:00 AM,1,441,477
390,8378563200,5/5/2016 12:00:00 AM,1,381,417
391,8378563200,5/6/2016 12:00:00 AM,1,323,355
392,8378563200,5/7/2016 12:00:00 AM,2,459,513
393,8378563200,5/8/2016 12:00:00 AM,1,545,606
394,8378563200,5/9/2016 12:00:00 AM,1,359,399
395,8378563200,5/10/2016 12:00:00 AM,1,342,391
396,8378563200,5/11/2016 12:00:00 AM,1,368,387
397,8378563200,5/12/2016 12:00:00 AM,1,496,546
398,8792009665,4/12/2016 12:00:00 AM,1,458,493
399,8792009665,4/13/2016 12:00:00 AM,1,531,552
400,8792009665,4/14/2016 12:00:00 AM,1,486,503
401,8792009665,4/15/2016 12:00:00 AM,1,363,377
402,8792009665,4/20/2016 12:00:00 AM,1,528,547
403,8792009665,4/22/2016 12:00:00 AM,1,391,407
404,8792009665,4/23/2016 12:00:00 AM,1,339,360
405,8792009665,4/27/2016 12:00:00 AM,1,423,428
406,8792009665,4/28/2016 12:00:00 AM,1,402,416
407,8792009665,4/29/2016 12:00:00 AM,1,398,406
408,8792009665,4/30/2016 12:00:00 AM,1,343,360
409,8792009665,5/1/2016 12:00:00 AM,1,503,527
410,8792009665,5/2/2016 12:00:00 AM,1,415,423
411,8792009665,5/3/2016 12:00:00 AM,1,516,545
412,8792009665,5/4/2016 12:00:00 AM,1,439,463
