,Id,ActivityHour,TotalIntensity,AverageIntensity
164,1503960366,4/18/2016 8:00:00 PM,2,0.033333
165,1503960366,4/18/2016 9:00:00 PM,11,0.183333
166,1503960366,4/18/2016 10:00:00 PM,19,0.316667
167,1503960366,4/18/2016 11:00:00 PM,18,0.3
169,1503960366,4/19/2016 1:00:00 AM,1,0.016667
171,1503960366,4/19/2016 3:00:00 AM,2,0.033333
174,1503960366,4/19/2016 6:00:00 AM,1,0.016667
175,1503960366,4/19/2016 7:00:00 AM,19,0.316667
176,1503960366,4/19/2016 8:00:00 AM,38,0.633333
177,1503960366,4/19/2016 9:00:00 AM,16,0.266667
178,1503960366,4/19/2016 10:00:00 AM,16,0.266667
179,1503960366,4/19/2016 11:00:00 AM,13,0.216667
180,1503960366,4/19/2016 12:00:00 PM,61,1.016667
181,1503960366,4/19/2016 1:00:00 PM,65,1.083333
182,1503960366,4/19/2016 2:00:00 PM,12,0.2
183,1503960366,4/19/2016 3:00:00 PM,12,0.2
184,1503960366,4/19/2016 4:00:00 PM,9,0.15
185,1503960366,4/19/2016 5:00:00 PM,13,0.216667
186,1503960366,4/19/2016 6:00:00 PM,30,0.5
187,1503960366,4/19/2016 7:00:00 PM,31,0.516667
188,1503960366,4/19/2016 8:00:00 PM,69,1.15
189,1503960366,4/19/2016 9:00:00 PM,16,0.266667
190,1503960366,4/19/2016 10:00:00 PM,4,0.066667
191,1503960366,4/19/2016 11:00:00 PM,48,0.8
192,1503960366,4/20/2016 12:00:00 AM,2,0.033333
193,1503960366,4/20/2016 1:00:00 AM,2,0.033333
199,1503960366,4/20/2016 7:00:00 AM,3,0.05
200,1503960366,4/20/2016 8:00:00 AM,14,0.233333
201,1503960366,4/20/2016 9:00:00 AM,50,0.833333
202,1503960366,4/20/2016 10:00:00 AM,13,0.216667
203,1503960366,4/20/2016 11:00:00 AM,1,0.016667
204,1503960366,4/20/2016 12:00:00 PM,8,0.133333
205,1503960366,4/20/2016 1:00:00 PM,5,0.083333
206,1503960366,4/20/2016 2:00:00 PM,39,0.65
207,1503960366,4/20/2016 3:00:00 PM,21,0.35
208,1503960366,4/20/2016 4:00:00 PM,11,0.183333
209,1503960366,4/20/2016 5:00:00 PM,2,0.033333
210,1503960366,4/20/2016 6:00:00 PM,32,0.533333
211,1503960366,4/20/2016 7:00:00 PM,36,0.6
212,1503960366,4/20/2016 8:00:00 PM,12,0.2
213,1503960366,4/20/2016 9:00:00 PM,22,0.366667
214,1503960366,4/20/2016 10:00:00 PM,7,0.116667
215,1503960366,4/20/2016 11:00:00 PM,33,0.55
216,1503960366,4/21/2016 12:00:00 AM,2,0.033333
217,1503960366,4/21/2016 1:00:00 AM,8,0.133333
218,1503960366,4/21/2016 2:00:00 AM,5,0.083333
223,1503960366,4/21/2016 7:00:00 AM,3,0.05
224,1503960366,4/21/2016 8:00:00 AM,15,0.25
225,1503960366,4/21/2016 9:00:00 AM,26,0.433333
226,1503960366,4/21/2016 10:00:00 AM,16,0.266667
228,1503960366,4/21/2016 12:00:00 PM,11,0.183333
229,1503960366,4/21/2016 1:00:00 PM,25,0.416667
230,1503960366,4/21/2016 2:00:00 PM,2,0.033333
231,1503960366,4/21/2016 3:00:00 PM,8,0.133333
232,1503960366,4/21/2016 4:00:00 PM,4,0.066667
233,1503960366,4/21/2016 5:00:00 PM,5,0.083333
234,1503960366,4/21/2016 6:00:00 PM,9,0.15
235,1503960366,4/21/2016 7:00:00 PM,8,0.133333
236,1503960366,4/21/2016 8:00:00 PM,92,1.533333
237,1503960366,4/21/2016 9:00:00 PM,21,0.35
238,1503960366,4/21/2016 10:00:00 PM,9,0.15
239,1503960366,4/21/2016 11:00:00 PM,15,0.25
249,1503960366,4/22/2016 9:00:00 AM,13,0.216667
250,1503960366,4/22/2016 10:00:00 AM,2,0.033333
251,1503960366,4/22/2016 11:00:00 AM,34,0.566667
252,1503960366,4/22/2016 12:00:00 PM,2,0.033333
253,1503960366,4/22/2016 1:00:00 PM,4,0.066667
255,1503960366,4/22/2016 3:00:00 PM,10,0.166667
256,1503960366,4/22/2016 4:00:00 PM,4,0.066667
257,1503960366,4/22/2016 5:00:00 PM,18,0.3
258,1503960366,4/22/2016 6:00:00 PM,23,0.383333
259,1503960366,4/22/2016 7:00:00 PM,16,0.266667
260,1503960366,4/22/2016 8:00:00 PM,13,0.216667
262,1503960366,4/22/2016 10:00:00 PM,30,0.5
263,1503960366,4/22/2016 11:00:00 PM,54,0.9
264,1503960366,4/23/2016 12:00:00 AM,9,0.15
266,1503960366,4/23/2016 2:00:00 AM,1,0.016667
270,1503960366,4/23/2016 6:00:00 AM,2,0.033333
272,1503960366,4/23/2016 8:00:00 AM,8,0.133333
273,1503960366,4/23/2016 9:00:00 AM,17,0.283333
274,1503960366,4/23/2016 10:00:00 AM,4,0.066667
275,1503960366,4/23/2016 11:00:00 AM,11,0.183333
276,1503960366,4/23/2016 12:00:00 PM,49,0.816667
277,1503960366,4/23/2016 1:00:00 PM,51,0.85
278,1503960366,4/23/2016 2:00:00 PM,20,0.333333
279,1503960366,4/23/2016 3:00:00 PM,15,0.25
280,1503960366,4/23/2016 4:00:00 PM,52,0.866667
281,1503960366,4/23/2016 5:00:00 PM,26,0.433333
282,1503960366,4/23/2016 6:00:00 PM,66,1.1
283,1503960366,4/23/2016 7:00:00 PM,2,0.033333
284,1503960366,4/23/2016 8:00:00 PM,9,0.15
285,1503960366,4/23/2016 9:00:00 PM,54,0.9
286,1503960366,4/23/2016 10:00:00 PM,25,0.416667
287,1503960366,4/23/2016 11:00:00 PM,6,0.1
288,1503960366,4/24/2016 12:00:00 AM,10,0.166667
289,1503960366,4/24/2016 1:00:00 AM,2,0.033333
292,1503960366,4/24/2016 4:00:00 AM,1,0.016667
294,1503960366,4/24/2016 6:00:00 AM,1,0.016667
296,1503960366,4/24/2016 8:00:00 AM,1,0.016667
297,1503960366,4/24/2016 9:00:00 AM,8,0.133333
298,1503960366,4/24/2016 10:00:00 AM,26,0.433333
299,1503960366,4/24/2016 11:00:00 AM,12,0.2
300,1503960366,4/24/2016 12:00:00 PM,12,0.2
301,1503960366,4/24/2016 1:00:00 PM,12,0.2
302,1503960366,4/24/2016 2:00:00 PM,1,0.016667
303,1503960366,4/24/2016 3:00:00 PM,2,0.033333
304,1503960366,4/24/2016 4:00:00 PM,29,0.483333
305,1503960366,4/24/2016 5:00:00 PM,25,0.416667
306,1503960366,4/24/2016 6:00:00 PM,40,0.666667
308,1503960366,4/24/2016 8:00:00 PM,18,0.3
309,1503960366,4/24/2016 9:00:00 PM,17,0.283333
310,1503960366,4/24/2016 10:00:00 PM,7,0.116667
311,1503960366,4/24/2016 11:00:00 PM,10,0.166667
312,1503960366,4/25/2016 12:00:00 AM,8,0.133333
313,1503960366,4/25/2016 1:00:00 AM,3,0.05
314,1503960366,4/25/2016 2:00:00 AM,6,0.1
316,1503960366,4/25/2016 4:00:00 AM,2,0.033333
317,1503960366,4/25/2016 5:00:00 AM,1,0.016667
319,1503960366,4/25/2016 7:00:00 AM,3,0.05
320,1503960366,4/25/2016 8:00:00 AM,22,0.366667
321,1503960366,4/25/2016 9:00:00 AM,46,0.766667
322,1503960366,4/25/2016 10:00:00 AM,12,0.2
323,1503960366,4/25/2016 11:00:00 AM,24,0.4
324,1503960366,4/25/2016 12:00:00 PM,19,0.316667
325,1503960366,4/25/2016 1:00:00 PM,13,0.216667
326,1503960366,4/25/2016 2:00:00 PM,5,0.083333
327,1503960366,4/25/2016 3:00:00 PM,13,0.216667
328,1503960366,4/25/2016 4:00:00 PM,10,0.166667
329,1503960366,4/25/2016 5:00:00 PM,8,0.133333
330,1503960366,4/25/2016 6:00:00 PM,6,0.1
331,1503960366,4/25/2016 7:00:00 PM,86,1.433333
332,1503960366,4/25/2016 8:00:00 PM,30,0.5
334,1503960366,4/25/2016 10:00:00 PM,11,0.183333
335,1503960366,4/25/2016 11:00:00 PM,3,0.05
336,1503960366,4/26/2016 12:00:00 AM,4,0.066667
337,1503960366,4/26/2016 1:00:00 AM,11,0.183333
339,1503960366,4/26/2016 3:00:00 AM,11,0.183333
341,1503960366,4/26/2016 5:00:00 AM,1,0.016667
343,1503960366,4/26/2016 7:00:00 AM,3,0.05
344,1503960366,4/26/2016 8:00:00 AM,13,0.216667
345,1503960366,4/26/2016 9:00:00 AM,31,0.516667
346,1503960366,4/26/2016 10:00:00 AM,22,0.366667
347,1503960366,4/26/2016 11:00:00 AM,17,0.283333
348,1503960366,4/26/2016 12:00:00 PM,10,0.166667
349,1503960366,4/26/2016 1:00:00 PM,42,0.7
350,1503960366,4/26/2016 2:00:00 PM,60,1.0
351,1503960366,4/26/2016 3:00:00 PM,9,0.15
352,1503960366,4/26/2016 4:00:00 PM,22,0.366667
353,1503960366,4/26/2016 5:00:00 PM,5,0.083333
354,1503960366,4/26/2016 6:00:00 PM,72,1.2
355,1503960366,4/26/2016 7:00:00 PM,15,0.25
356,1503960366,4/26/2016 8:00:00 PM,26,0.433333
357,1503960366,4/26/2016 9:00:00 PM,14,0.233333
358,1503960366,4/26/2016 10:00:00 PM,9,0.15
359,1503960366,4/26/2016 11:00:00 PM,21,0.35
360,1503960366,4/27/2016 12:00:00 AM,10,0.166667
361,1503960366,4/27/2016 1:00:00 AM,5,0.083333
362,1503960366,4/27/2016 2:00:00 AM,2,0.033333
369,1503960366,4/27/2016 9:00:00 AM,33,0.55
370,1503960366,4/27/2016 10:00:00 AM,27,0.45
371,1503960366,4/27/2016 11:00:00 AM,23,0.383333
372,1503960366,4/27/2016 12:00:00 PM,12,0.2
373,1503960366,4/27/2016 1:00:00 PM,13,0.216667
374,1503960366,4/27/2016 2:00:00 PM,35,0.583333
375,1503960366,4/27/2016 3:00:00 PM,6,0.1
376,1503960366,4/27/2016 4:00:00 PM,7,0.116667
377,1503960366,4/27/2016 5:00:00 PM,13,0.216667
378,1503960366,4/27/2016 6:00:00 PM,73,1.216667
380,1503960366,4/27/2016 8:00:00 PM,70,1.166667
381,1503960366,4/27/2016 9:00:00 PM,20,0.333333
385,1503960366,4/28/2016 1:00:00 AM,10,0.166667
391,1503960366,4/28/2016 7:00:00 AM,1,0.016667
392,1503960366,4/28/2016 8:00:00 AM,11,0.183333
393,1503960366,4/28/2016 9:00:00 AM,38,0.633333
394,1503960366,4/28/2016 10:00:00 AM,19,0.316667
395,1503960366,4/28/2016 11:00:00 AM,10,0.166667
396,1503960366,4/28/2016 12:00:00 PM,16,0.266667
397,1503960366,4/28/2016 1:00:00 PM,33,0.55
398,1503960366,4/28/2016 2:00:00 PM,47,0.783333
399,1503960366,4/28/2016 3:00:00 PM,5,0.083333
400,1503960366,4/28/2016 4:00:00 PM,10,0.166667
401,1503960366,4/28/2016 5:00:00 PM,11,0.183333
402,1503960366,4/28/2016 6:00:00 PM,56,0.933333
403,1503960366,4/28/2016 7:00:00 PM,1,0.016667
404,1503960366,4/28/2016 8:00:00 PM,50,0.833333
405,1503960366,4/28/2016 9:00:00 PM,21,0.35
406,1503960366,4/28/2016 10:00:00 PM,2,0.033333
407,1503960366,4/28/2016 11:00:00 PM,48,0.8
408,1503960366,4/29/2016 12:00:00 AM,9,0.15
410,1503960366,4/29/2016 2:00:00 AM,4,0.066667
415,1503960366,4/29/2016 7:00:00 AM,3,0.05
416,1503960366,4/29/2016 8:00:00 AM,13,0.216667
417,1503960366,4/29/2016 9:00:00 AM,33,0.55
418,1503960366,4/29/2016 10:00:00 AM,4,0.066667
419,1503960366,4/29/2016 11:00:00 AM,4,0.066667
420,1503960366,4/29/2016 12:00:00 PM,6,0.1
421,1503960366,4/29/2016 1:00:00 PM,6,0.1
422,1503960366,4/29/2016 2:00:00 PM,56,0.933333
423,1503960366,4/29/2016 3:00:00 PM,23,0.383333
424,1503960366,4/29/2016 4:00:00 PM,10,0.166667
425,1503960366,4/29/2016 5:00:00 PM,9,0.15
426,1503960366,4/29/2016 6:00:00 PM,5,0.083333
427,1503960366,4/29/2016 7:00:00 PM,11,0.183333
428,1503960366,4/29/2016 8:00:00 PM,16,0.266667
429,1503960366,4/29/2016 9:00:00 PM,20,0.333333
430,1503960366,4/29/2016 10:00:00 PM,27,0.45
431,1503960366,4/29/2016 11:00:00 PM,56,0.933333
432,1503960366,4/30/2016 12:00:00 AM,1,0.016667
433,1503960366,4/30/2016 1:00:00 AM,7,0.116667
435,1503960366,4/30/2016 3:00:00 AM,1,0.016667
440,1503960366,4/30/2016 8:00:00 AM,3,0.05
441,1503960366,4/30/2016 9:00:00 AM,11,0.183333
442,1503960366,4/30/2016 10:00:00 AM,17,0.283333
443,1503960366,4/30/2016 11:00:00 AM,7,0.116667
444,1503960366,4/30/2016 12:00:00 PM,4,0.066667
445,1503960366,4/30/2016 1:00:00 PM,11,0.183333
446,1503960366,4/30/2016 2:00:00 PM,22,0.366667
447,1503960366,4/30/2016 3:00:00 PM,26,0.433333
449,1503960366,4/30/2016 5:00:00 PM,55,0.916667
450,1503960366,4/30/2016 6:00:00 PM,71,1.183333
451,1503960366,4/30/2016 7:00:00 PM,4,0.066667
452,1503960366,4/30/2016 8:00:00 PM,5,0.083333
453,1503960366,4/30/2016 9:00:00 PM,22,0.366667
454,1503960366,4/30/2016 10:00:00 PM,47,0.783333
455,1503960366,4/30/2016 11:00:00 PM,28,0.466667
456,1503960366,5/1/2016 12:00:00 AM,9,0.15
457,1503960366,5/1/2016 1:00:00 AM,8,0.133333
458,1503960366,5/1/2016 2:00:00 AM,2,0.033333
459,1503960366,5/1/2016 3:00:00 AM,1,0.016667
463,1503960366,5/1/2016 7:00:00 AM,3,0.05
464,1503960366,5/1/2016 8:00:00 AM,6,0.1
465,1503960366,5/1/2016 9:00:00 AM,12,0.2
466,1503960366,5/1/2016 10:00:00 AM,6,0.1
467,1503960366,5/1/2016 11:00:00 AM,10,0.166667
468,1503960366,5/1/2016 12:00:00 PM,10,0.166667
469,1503960366,5/1/2016 1:00:00 PM,5,0.083333
470,1503960366,5/1/2016 2:00:00 PM,25,0.416667
471,1503960366,5/1/2016 3:00:00 PM,21,0.35
472,1503960366,5/1/2016 4:00:00 PM,23,0.383333
473,1503960366,5/1/2016 5:00:00 PM,33,0.55
474,1503960366,5/1/2016 6:00:00 PM,70,1.166667
475,1503960366,5/1/2016 7:00:00 PM,14,0.233333
476,1503960366,5/1/2016 8:00:00 PM,6,0.1
477,1503960366,5/1/2016 9:00:00 PM,25,0.416667
478,1503960366,5/1/2016 10:00:00 PM,50,0.833333
479,1503960366,5/1/2016 11:00:00 PM,76,1.266667
481,1503960366,5/2/2016 1:00:00 AM,7,0.116667
483,1503960366,5/2/2016 3:00:00 AM,1,0.016667
487,1503960366,5/2/2016 7:00:00 AM,3,0.05
488,1503960366,5/2/2016 8:00:00 AM,12,0.2
489,1503960366,5/2/2016 9:00:00 AM,30,0.5
490,1503960366,5/2/2016 10:00:00 AM,19,0.316667
491,1503960366,5/2/2016 11:00:00 AM,16,0.266667
492,1503960366,5/2/2016 12:00:00 PM,64,1.066667
493,1503960366,5/2/2016 1:00:00 PM,21,0.35
494,1503960366,5/2/2016 2:00:00 PM,13,0.216667
495,1503960366,5/2/2016 3:00:00 PM,11,0.183333
496,1503960366,5/2/2016 4:00:00 PM,24,0.4
497,1503960366,5/2/2016 5:00:00 PM,12,0.2
498,1503960366,5/2/2016 6:00:00 PM,9,0.15
499,1503960366,5/2/2016 7:00:00 PM,13,0.216667
501,1503960366,5/2/2016 9:00:00 PM,25,0.416667
502,1503960366,5/2/2016 10:00:00 PM,28,0.466667
503,1503960366,5/2/2016 11:00:00 PM,17,0.283333
504,1503960366,5/3/2016 12:00:00 AM,3,0.05
505,1503960366,5/3/2016 1:00:00 AM,6,0.1
506,1503960366,5/3/2016 2:00:00 AM,1,0.016667
507,1503960366,5/3/2016 3:00:00 AM,5,0.083333
510,1503960366,5/3/2016 6:00:00 AM,2,0.033333
511,1503960366,5/3/2016 7:00:00 AM,3,0.05
512,1503960366,5/3/2016 8:00:00 AM,11,0.183333
513,1503960366,5/3/2016 9:00:00 AM,24,0.4
514,1503960366,5/3/2016 10:00:00 AM,25,0.416667
515,1503960366,5/3/2016 11:00:00 AM,12,0.2
516,1503960366,5/3/2016 12:00:00 PM,17,0.283333
517,1503960366,5/3/2016 1:00:00 PM,23,0.383333
518,1503960366,5/3/2016 2:00:00 PM,26,0.433333
519,1503960366,5/3/2016 3:00:00 PM,46,0.766667
520,1503960366,5/3/2016 4:00:00 PM,33,0.55
521,1503960366,5/3/2016 5:00:00 PM,18,0.3
522,1503960366,5/3/2016 6:00:00 PM,86,1.433333
523,1503960366,5/3/2016 7:00:00 PM,5,0.083333
524,1503960366,5/3/2016 8:00:00 PM,1,0.016667
525,1503960366,5/3/2016 9:00:00 PM,37,0.616667
526,1503960366,5/3/2016 10:00:00 PM,58,0.966667
527,1503960366,5/3/2016 11:00:00 PM,10,0.166667
528,1503960366,5/4/2016 12:00:00 AM,17,0.283333
529,1503960366,5/4/2016 1:00:00 AM,2,0.033333
536,1503960366,5/4/2016 8:00:00 AM,4,0.066667
537,1503960366,5/4/2016 9:00:00 AM,22,0.366667
538,1503960366,5/4/2016 10:00:00 AM,26,0.433333
539,1503960366,5/4/2016 11:00:00 AM,7,0.116667
540,1503960366,5/4/2016 12:00:00 PM,12,0.2
541,1503960366,5/4/2016 1:00:00 PM,16,0.266667
542,1503960366,5/4/2016 2:00:00 PM,67,1.116667
543,1503960366,5/4/2016 3:00:00 PM,7,0.116667
544,1503960366,5/4/2016 4:00:00 PM,6,0.1
545,1503960366,5/4/2016 5:00:00 PM,11,0.183333
546,1503960366,5/4/2016 6:00:00 PM,62,1.033333
547,1503960366,5/4/2016 7:00:00 PM,19,0.316667
548,1503960366,5/4/2016 8:00:00 PM,30,0.5
549,1503960366,5/4/2016 9:00:00 PM,39,0.65
550,1503960366,5/4/2016 10:00:00 PM,8,0.133333
552,1503960366,5/5/2016 12:00:00 AM,6,0.1
553,1503960366,5/5/2016 1:00:00 AM,6,0.1
554,1503960366,5/5/2016 2:00:00 AM,2,0.033333
556,1503960366,5/5/2016 4:00:00 AM,4,0.066667
558,1503960366,5/5/2016 6:00:00 AM,1,0.016667
559,1503960366,5/5/2016 7:00:00 AM,3,0.05
560,1503960366,5/5/2016 8:00:00 AM,10,0.166667
561,1503960366,5/5/2016 9:00:00 AM,26,0.433333
562,1503960366,5/5/2016 10:00:00 AM,15,0.25
563,1503960366,5/5/2016 11:00:00 AM,4,0.066667
564,1503960366,5/5/2016 12:00:00 PM,13,0.216667
565,1503960366,5/5/2016 1:00:00 PM,21,0.35
566,1503960366,5/5/2016 2:00:00 PM,12,0.2
567,1503960366,5/5/2016 3:00:00 PM,14,0.233333
568,1503960366,5/5/2016 4:00:00 PM,21,0.35
569,1503960366,5/5/2016 5:00:00 PM,70,1.166667
570,1503960366,5/5/2016 6:00:00 PM,30,0.5
571,1503960366,5/5/2016 7:00:00 PM,20,0.333333
572,1503960366,5/5/2016 8:00:00 PM,19,0.316667
574,1503960366,5/5/2016 10:00:00 PM,17,0.283333
575,1503960366,5/5/2016 11:00:00 PM,6,0.1
576,1503960366,5/6/2016 12:00:00 AM,12,0.2
577,1503960366,5/6/2016 1:00:00 AM,1,0.016667
578,1503960366,5/6/2016 2:00:00 AM,7,0.116667
580,1503960366,5/6/2016 4:00:00 AM,1,0.016667
583,1503960366,5/6/2016 7:00:00 AM,3,0.05
584,1503960366,5/6/2016 8:00:00 AM,9,0.15
585,1503960366,5/6/2016 9:00:00 AM,29,0.483333
586,1503960366,5/6/2016 10:00:00 AM,20,0.333333
587,1503960366,5/6/2016 11:00:00 AM,6,0.1
588,1503960366,5/6/2016 12:00:00 PM,13,0.216667
589,1503960366,5/6/2016 1:00:00 PM,10,0.166667
590,1503960366,5/6/2016 2:00:00 PM,15,0.25
591,1503960366,5/6/2016 3:00:00 PM,27,0.45
592,1503960366,5/6/2016 4:00:00 PM,17,0.283333
593,1503960366,5/6/2016 5:00:00 PM,13,0.216667
594,1503960366,5/6/2016 6:00:00 PM,28,0.466667
595,1503960366,5/6/2016 7:00:00 PM,55,0.916667
596,1503960366,5/6/2016 8:00:00 PM,16,0.266667
597,1503960366,5/6/2016 9:00:00 PM,20,0.333333
598,1503960366,5/6/2016 10:00:00 PM,19,0.316667
599,1503960366,5/6/2016 11:00:00 PM,52,0.866667
600,1503960366,5/7/2016 12:00:00 AM,9,0.15
602,1503960366,5/7/2016 2:00:00 AM,2,0.033333
608,1503960366,5/7/2016 8:00:00 AM,9,0.15
609,1503960366,5/7/2016 9:00:00 AM,7,0.116667
610,1503960366,5/7/2016 10:00:00 AM,46,0.766667
611,1503960366,5/7/2016 11:00:00 AM,59,0.983333
612,1503960366,5/7/2016 12:00:00 PM,6,0.1
613,1503960366,5/7/2016 1:00:00 PM,2,0.033333
614,1503960366,5/7/2016 2:00:00 PM,9,0.15
615,1503960366,5/7/2016 3:00:00 PM,4,0.066667
